instruction,output
"A small company manufactures customized bicycles . Whenever the sales department receives an order , a new process instance is created . A member of the sales department can then reject or accept the order for a customized bike . In the former case , the process instance is finished . In the latter case , the storehouse and the engineering department are informed . The storehouse immediately processes the part list of the order and checks the required quantity of each part . If the part is available in-house , it is reserved . If it is not available , it is back-ordered . This procedure is repeated for each item on the part list . In the meantime , the engineering department prepares everything for the assembling of the ordered bicycle . If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished , the engineering department assembles the bicycle . Afterwards , the sales department ships the bicycle to the customer and finishes the process instance .","['receives an order', 'reject or accept the order', 'informed', 'processes the part list of the order', 'checks the required quantity of each part', 'reserved', 'back-ordered', 'prepares everything for the assembling of the ordered bicycle', 'assembles the bicycle', 'ships the bicycle to the customer', 'finishes the process instance']


"
"A customer brings in a defective computer and the CRS checks the defect and hands out a repair cost calculation back . If the customer decides that the costs are acceptable , the process continues , otherwise she takes her computer home unrepaired . The ongoing repair consists of two activities , which are executed , in an arbitrary order . The first activity is to check and repair the hardware , whereas the second activity checks and configures the software . After each of these activities , the proper system functionality is tested . If an error is detected another arbitrary repair activity is executed , otherwise the repair is finished .","['brings in', 'checks', 'hands out a repair cost calculation', 'decides', 'takes her computer home unrepaired', 'check and repair the hardware', 'checks and configures the software', 'tested', 'detected another arbitrary repair activity', 'is finished']"
"The Evanstonian is an upscale independent hotel . When a guest calls room service at The Evanstonian , the room-service manager takes down the order . She then submits an order ticket to the kitchen to begin preparing the food . She also gives an order to the sommelier ( i.e . , the wine waiter ) to fetch wine from the cellar and to prepare any other alcoholic beverages . Eighty percent of room-service orders include wine or some other alcoholic beverage . Finally , she assigns the order to the waiter . While the kitchen and the sommelier are doing their tasks , the waiter readies a cart ( i.e . , puts a tablecloth on the cart and gathers silverware ) . The waiter is also responsible for nonalcoholic drinks . Once the food , wine , and cart are ready , the waiter delivers it to the guest ’ s room . After returning to the room-service station , the waiter debits the guest ’ s account . The waiter may wait to do the billing if he has another order to prepare or deliver .","['calls room service', 'takes down the order', 'submits an order ticket', 'gives an order', 'fetch wine', 'assigns the order', 'readies a cart', 'delivers it', 'debits the guest ’ s account', 'wait to do the billing']"
"Whenever a company makes the decision to go public , its first task is to select the underwriters . Underwriters act as financial midwives to a new issue . Usually they play a triple role : First they provide the company with procedural and financial advice , then they buy the issue , and finally they resell it to the public . Established underwriters are careful of their reputation and will not handle a new issue unless they believe the facts have been presented fairly . Thus , in addition to handling the sale of a company ’ s issue , the underwriters in effect give their seal of approval to it . They prepare a registration statement for the approval of the Securities and Exchange Commission ( SEC ) . In addition to registering the issue with the SEC , they need to check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state . While the registration statement is awaiting approval , underwriters begin to firm up the issue price . They arrange a road show to talk to potential investors . Immediately after they receive clearance from the SEC , underwriters fix the issue price . After that they enter into a firm commitment to buy the stock and then offer it to the public , when they haven ’ t still found any reason not to do it .","['makes the decision to go public', 'select the underwriters', 'provide the company with procedural and financial advice', 'buy the issue', 'resell it to the public', 'give their seal of approval to it', 'prepare a registration statement for the approval of the Securities and Exchange Commission (SEC)', 'check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state', 'firm up the issue price', 'talk to potential investors', 'fix the issue price', 'enter into a firm commitment to buy the stock and then offer it to the public']"
The MPON sents the dismissal to the MPOO . The MPOO reviews the dismissal . The MPOO opposes the dismissal of MPON or the MPOO confirmes the dismissal of the MPON .,"['sents the dismissal', 'reviews the dismissal', 'opposes the dismissal of MPON', 'confirmes the dismissal of the MPON']


"
"The fault detector reports a failure to the MPO or MPO has a suspicion of their own fault . The MPO shall examine the failure . The MPO rejects the failure of the fault detector or the MPO confirms the failure of the fault detector . If the MPO confirms the failure of the fault detector , he informes the GO and the MSP . The MPO fixes the fault at the measuring device . The MPO shares the results of the repairs carried out with the fault detector . The MPO will inform the GO about the resolution of the interference . The MPO will inform the MSP about the resolution of the interference .","['reports a failure', 'has a suspicion of their own fault', 'examine the failure', 'rejects the failure of the fault detector', 'confirms the failure of the fault detector', 'informes the GO and the MSP', 'fixes the fault at the measuring device', 'shares the results of the repairs carried out with the fault detector', 'will inform the GO about the resolution of the interference', 'will inform the MSP about the resolution of the interference']"
The GO requests the measurements to the MSP . The MSP checks the received request . The MSP denies the request of the GO or the MSP performs the measurement . The MSP informs the GO about the failure of the reading or the MSP transmits the measured values to the GO . The GO processes the measured values . The GO sends the changed values to the MSP . The GO transmit the readings to the SP .,"['requests the measurements', 'checks the received request', 'denies the request of the GO', 'performs the measurement', 'informs the GO about the failure of the reading', 'transmits the measured values to the GO', 'processes the measured values', 'sends the changed values to the MSP', 'transmit the readings to the SP']"
The EC tells the INQ about the change of his master data . The INQ notifies the IP of the change . The IP checks whether the master data can be changed at the desired time . The IP confirmes the changes of the INQ or the IP rejectes the changes of the INQ .,"['tells the INQ', 'notifies the IP of the change', 'checks whether the master data can be changed at the desired time', 'confirmes the changes of the INQ', 'rejectes the changes of the INQ']"
"The INQ transmits the transaction data request to the IP . The IP checks the request of the INQ . The IP answers the question of the INQ depending on the outcome of the examination , i.e . Transmission of data or rejection .","['transmits the transaction data request', 'checks the request of the INQ', 'answers the question of the INQ depending on the outcome of the examination']"
"If the MPOO sends the bill for the temporary continuation of the metering point operations to the GO , the GO examines the bill . If the MSPO sends the bill for the temporary continuation of the measurement to the GO , the GO examines the bill . If the MSPO sends the bill for additional readings to the GO , the GO examines the bill . If the MPOO sends the bill for the equipment acquisition to the MPON or the GO , the MPON or the GO examines the bill . The GO or the MPON confirms the invoice with payment advice to the MPOO or the MSPO , or the GO or the MPON rejects the invoice of the MPOO or the MSPO .","[
'sends the bill for the temporary continuation of the metering point operations',
'examines the bill',
'sends the bill for the temporary continuation of the measurement',
'examines the bill',
'sends the bill for additional readings',
'examines the bill',
'sends the bill for the equipment acquisition',
'examines the bill',
'confirms the invoice with payment advice',
'rejects the invoice of the MPOO or the MSPO'
]"
